Transactions,Codec,Raw,Compressed,Ratio
1,lzstring,59,54,1.0925
1,pack,59,38,1.5526
1,lzw,59,44,1.3409
1,lzma,59,70,0.8428
2,lzstring,114,88,1.2954
2,pack,114,72,1.5833
2,lzw,114,84,1.3571
2,lzma,114,102,1.1176
3,lzstring,172,120,1.4333
3,pack,172,111,1.5495
3,lzw,172,128,1.3437
3,lzma,172,135,1.274
4,lzstring,235,155,1.5161
4,pack,235,156,1.5064
4,lzw,235,179,1.3128
4,lzma,235,168,1.3988
5,lzstring,296,182,1.6263
5,pack,296,199,1.4874
5,lzw,296,220,1.3454
5,lzma,296,198,1.4949
6,lzstring,356,214,1.6635
6,pack,356,240,1.4833
6,lzw,356,260,1.3692
6,lzma,356,228,1.5614
7,lzstring,410,238,1.7226
7,pack,410,274,1.4963
7,lzw,410,299,1.3712
7,lzma,410,255,1.6078
8,lzstring,471,267,1.764
8,pack,471,316,1.4905
8,lzw,471,342,1.3771
8,lzma,471,283,1.6643
9,lzstring,532,294,1.8095
9,pack,532,359,1.4818
9,lzw,532,386,1.3782
9,lzma,532,311,1.7106
10,lzstring,589,315,1.8698
10,pack,589,396,1.4873
10,lzw,589,424,1.3891
10,lzma,589,335,1.7582
11,lzstring,649,344,1.8866
11,pack,649,438,1.4817
11,lzw,649,464,1.3987
11,lzma,649,363,1.7878
12,lzstring,704,368,1.913
12,pack,704,472,1.4915
12,lzw,704,499,1.4108
12,lzma,704,383,1.8381
13,lzstring,761,387,1.9664
13,pack,761,510,1.4921
13,lzw,761,536,1.4197
13,lzma,761,406,1.8743
14,lzstring,819,411,1.9927
14,pack,819,548,1.4945
14,lzw,819,574,1.4268
14,lzma,819,431,1.9002
15,lzstring,875,432,2.0254
15,pack,875,584,1.4982
15,lzw,875,610,1.4344
15,lzma,875,454,1.9273
16,lzstring,932,459,2.0305
16,pack,932,624,1.4935
16,lzw,932,648,1.4382
16,lzma,932,483,1.9296
17,lzstring,1000,488,2.0491
17,pack,1000,676,1.4792
17,lzw,1000,700,1.4285
17,lzma,1000,515,1.9417
18,lzstring,1061,520,2.0403
18,pack,1061,719,1.4756
18,lzw,1061,743,1.4279
18,lzma,1061,542,1.9575
19,lzstring,1119,542,2.0645
19,pack,1119,758,1.4762
19,lzw,1119,778,1.4383
19,lzma,1119,566,1.977
20,lzstring,1181,571,2.0683
20,pack,1181,802,1.4725
20,lzw,1181,820,1.4402
20,lzma,1181,594,1.9882
